GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
audit-log-service,com.example.audit.controller,GlobalExceptionHandler,23,33,0,0,5,7,1,4,1,4
audit-log-service,com.example.audit.controller,ComplianceController,0,13,0,0,0,4,0,2,0,2
audit-log-service,com.example.audit.controller,AuditLogController,0,87,0,0,0,19,0,7,0,7
audit-log-service,com.example.audit,AuditLogApplication,16,3,2,0,6,1,2,1,1,1
audit-log-service,com.example.audit.service,ComplianceService,0,67,0,4,0,16,0,6,0,4
audit-log-service,com.example.audit.service,AuditLogService,26,455,3,33,5,85,4,28,1,13
audit-log-service,com.example.audit.dto,AuditLogRequest,0,38,0,0,0,11,0,11,0,11
audit-log-service,com.example.audit.model,AuditLog,0,93,0,0,0,27,0,25,0,25
audit-log-service,com.example.audit.model,ExportBundle,16,20,0,0,6,6,2,6,2,6
audit-log-service,com.example.audit.model,ComplianceSummary,46,0,0,0,15,0,10,0,10,0
audit-log-service,com.example.audit.config,SecurityConfig,0,172,0,0,0,26,0,6,0,6
